Student_ID,Faculty_ID,Term_ID,Status,StartDate,EndDate
110138941,LW,2,Accepted,2017-01-01,2017-04-29
110138941,LW,3,Accepted,2017-04-30,2017-09-02
118616085,GR,1,Accepted,2016-08-28,2016-12-31
118616085,GR,2,Accepted,2017-01-01,2017-04-29
118616085,GR,3,Accepted,2017-04-30,2017-09-02
119432435,NU,2,Accepted,2017-01-01,2017-04-29
119432435,NU,3,Accepted,2017-04-30,2017-09-02
119834777,GR,2,Accepted,2017-01-01,2017-04-29
119834777,GR,3,Accepted,2017-04-30,2017-09-02
131016753,XX,1,Refused,,
131016753,XX,2,Refused,,
131016753,XX,3,Refused,,
260058842,GR,1,Accepted,2016-08-28,2016-12-31
260058842,GR,2,Accepted,2017-01-01,2017-04-29
260148627,GR,1,Accepted,2016-08-15,2016-12-31
260148627,XX,2,Accepted,2017-01-01,2017-04-29
260148627,XX,3,Accepted,2017-04-30,2017-09-02
260175424,XX,1,Refused,,
260175424,XX,2,Refused,,
260175424,XX,3,Refused,,
260175985,LW,1,Accepted,2016-08-28,2016-12-31
260175985,LW,2,Accepted,2017-01-01,2017-04-29
260175985,LW,3,Accepted,2017-04-30,2017-09-02
260186878,GR,1,Accepted,2016-08-28,2016-12-31
260186878,GR,2,Accepted,2017-01-01,2017-04-29
260186878,GR,3,Accepted,2017-04-30,2017-09-02
260192758,XX,1,Refused,,
260192758,XX,2,Refused,,
260192758,XX,3,Refused,,
260196314,AR,1,Accepted,2016-08-28,2016-12-31
260196314,AR,2,Accepted,2017-01-01,2017-04-29
260196314,AR,3,Accepted,2017-04-30,2017-09-02
260220834,AS,1,Accepted,2016-08-28,2016-12-31
260220834,AS,2,Accepted,2017-01-01,2017-04-29
260220834,AS,3,Accepted,2017-04-30,2017-09-02
260224966,AG,2,Accepted,2017-01-01,2017-04-29
260224966,AG,3,Accepted,2017-04-30,2017-09-02
260232306,MU,1,Accepted,2016-08-28,2016-12-31
260232306,MU,2,Accepted,2017-01-01,2017-04-29
260232306,MU,3,Accepted,2017-04-30,2017-09-02
260239074,AG,1,Accepted,2016-10-02,2016-12-31
260239074,AG,2,Accepted,2017-01-01,2017-04-29
260239092,AG,1,Accepted,2016-08-28,2016-12-31
260239092,AG,2,Accepted,2017-01-01,2017-04-29
260239092,AG,3,Accepted,2017-04-30,2017-09-02
260262872,AG,1,Accepted,2016-08-28,2016-12-31
260262872,AG,2,Accepted,2017-01-01,2017-04-29
260262872,AG,3,Accepted,2017-04-30,2017-09-02
260264623,AG,1,Accepted,2016-08-28,2016-12-31
260264623,AG,2,Accepted,2017-01-01,2017-04-29
260264623,AG,3,Accepted,2017-04-30,2017-09-02
260266643,LW,1,Accepted,2016-08-28,2016-12-31
260266643,LW,3,Accepted,2017-04-30,2017-09-02
260270708,LW,1,Accepted,2016-08-28,2016-12-31
260270708,LW,2,Accepted,2017-01-01,2017-04-29
260270708,LW,3,Accepted,2017-04-30,2017-09-02
260272411,GR,2,Accepted,2017-01-01,2017-04-29
260272411,GR,3,Accepted,2017-04-30,2017-09-02
260274542,GR,1,Accepted,2016-08-15,2016-12-31
260274542,GR,2,Accepted,2017-01-01,2017-04-29
260274542,GR,3,Accepted,2017-04-30,2017-09-02
260277973,LW,1,Accepted,2016-08-15,2016-12-31
260277973,LW,2,Accepted,2017-01-01,2017-04-29
260277973,LW,3,Accepted,2017-04-30,2017-09-02
260283234,LW,1,Accepted,2016-08-28,2016-12-31
260283234,LW,2,Accepted,2017-01-01,2017-04-29
260283234,LW,3,Accepted,2017-04-30,2017-09-02
260284183,SC,1,Accepted,2016-08-15,2016-12-31
260284553,AR,1,Accepted,2016-08-28,2016-12-31
260284553,AR,2,Accepted,2017-01-01,2017-04-29
260284553,AR,3,Accepted,2017-04-30,2017-09-02
260284681,GR,1,Accepted,2016-08-28,2016-12-31
260286749,XX,1,Refused,,
260286749,XX,2,Refused,,
260286749,XX,3,Refused,,
260299767,GR,1,Accepted,2016-08-28,2016-12-31
260299767,GR,2,Accepted,2017-01-01,2017-04-29
260299767,GR,3,Accepted,2017-04-30,2017-09-02
260307481,GR,1,Accepted,2016-08-28,2016-12-31
260307481,GR,2,Accepted,2017-01-01,2017-04-29
260311766,ED,2,Accepted,2017-01-01,2017-04-29
260311766,ED,3,Accepted,2017-04-30,2017-09-02
260312694,ME,1,Accepted,2016-08-28,2016-12-31
260312694,ME,2,Accepted,2017-01-01,2017-04-29
260315159,GR,1,Accepted,2016-10-02,2016-12-31
260315159,GR,2,Accepted,2017-01-01,2017-04-29
260315159,GR,3,Accepted,2017-04-30,2017-09-02
260315230,GR,1,Accepted,2016-08-28,2016-12-31
260315230,GR,2,Accepted,2017-01-01,2017-04-29
260315230,GR,3,Accepted,2017-04-30,2017-09-02
260315868,GR,1,Accepted,2016-08-28,2016-12-31
260319101,LW,1,Accepted,2016-08-28,2016-12-31
260319101,LW,2,Accepted,2017-01-01,2017-04-29
260319101,LW,3,Accepted,2017-04-30,2017-09-02
260320060,SC,1,Accepted,2016-08-28,2016-12-31
260320060,SC,2,Accepted,2017-01-01,2017-04-29
260320060,SC,3,Accepted,2017-04-30,2017-09-02
260321126,AR,1,Accepted,2016-08-28,2016-12-31
260321126,AR,2,Accepted,2017-01-01,2017-04-29
260326311,GR,1,Accepted,2016-08-28,2016-12-31
260326311,GR,2,Accepted,2017-01-01,2017-04-29
260327558,LW,1,Accepted,2016-08-28,2016-12-31
260327558,LW,2,Accepted,2017-01-01,2017-04-29
260328908,XX,1,Refused,,
260328908,XX,2,Refused,,
260328908,XX,3,Refused,,
260328996,NU,1,Accepted,2016-10-02,2016-12-31
260328996,NU,2,Accepted,2017-01-01,2017-04-29
260328996,NU,3,Accepted,2017-04-30,2017-09-02
260332202,GR,1,Accepted,2016-08-28,2016-12-31
260332202,GR,2,Accepted,2017-01-01,2017-04-29
260332250,AS,1,Accepted,2016-08-28,2016-12-31
260332250,AS,2,Accepted,2017-01-01,2017-04-29
260332250,AS,3,Accepted,2017-04-30,2017-09-02
260332970,GR,1,Accepted,2016-08-28,2016-12-31
260332970,GR,2,Accepted,2017-01-01,2017-04-29
260332970,GR,3,Accepted,2017-04-30,2017-09-02
260334873,XX,1,Refused,,
260334873,XX,2,Refused,,
260334873,XX,3,Refused,,
260339685,GR,1,Accepted,2016-08-28,2016-12-31
260339685,GR,2,Accepted,2017-01-01,2017-04-29
260339685,GR,3,Accepted,2017-04-30,2017-09-02
