Student ID,Decision,Fall Approved Work Period / Faculty,Winter Approved Work Period / Faculty,Summer Approved Work Period / Faculty
110138941,Accepted,,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
118616085,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
119432435,Accepted,,01-Jan-2017 to 29-Apr-2017 / NU,30-Apr-2017 to 02-Sep-2017 / NU
119834777,Accepted,,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
131016753,Refused,,,
260058842,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260148627,Accepted,15-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 /,30-Apr-2017 to 02-Sep-2017 /
260175424,Refused,,,
260175985,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260186878,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260192758,Refused,,,
260196314,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260220834,Accepted,28-Aug-2016 to 31-Dec-2016 / AS,01-Jan-2017 to 29-Apr-2017 / AS,30-Apr-2017 to 02-Sep-2017 / AS
260224966,Accepted,,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260232306,Accepted,28-Aug-2016 to 31-Dec-2016 / MU,01-Jan-2017 to 29-Apr-2017 / MU,30-Apr-2017 to 02-Sep-2017 / MU
260239074,Accepted,02-Oct-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,
260239092,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260262872,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260264623,Accepted,28-Aug-2016 to 31-Dec-2016 / AG,01-Jan-2017 to 29-Apr-2017 / AG,30-Apr-2017 to 02-Sep-2017 / AG
260266643,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,,30-Apr-2017 to 02-Sep-2017 / LW
260270708,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260272411,Accepted,,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260274542,Accepted,15-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260277973,Accepted,15-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260283234,Accepted,28-Aug-2016 to 31-Dec-2016 / LW,01-Jan-2017 to 29-Apr-2017 / LW,30-Apr-2017 to 02-Sep-2017 / LW
260284183,Accepted,15-Aug-2016 to 31-Dec-2016 / SC,,
260284553,Accepted,28-Aug-2016 to 31-Dec-2016 / AR,01-Jan-2017 to 29-Apr-2017 / AR,30-Apr-2017 to 02-Sep-2017 / AR
260284681,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,,
260286749,Refused,,,
260299767,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,30-Apr-2017 to 02-Sep-2017 / GR
260307481,Accepted,28-Aug-2016 to 31-Dec-2016 / GR,01-Jan-2017 to 29-Apr-2017 / GR,
260311766,Accepted,,01-Jan-2017 to 29-Apr-2017 / ED,30-Apr-2017 to 02-Sep-2017 / ED
260312694,Accepted,28-Aug-2016 to 31-Dec-2016 / MD,01-Jan-2017 to 29-Apr-2017 / MD,
